Roll Number of the Student,Marks
101803147,14
101803206,c12
101803258,40
101853003,28
101803184,11
101983047,31
101803440,26
101803413,37
101803202,44
101803674,14
101803042,34
101803095,c15
101803473,43
101816044,42
101803025,47
101803512,34
101866011,44
101803466,23
101803315,15
101803112,36
101803692,32
101803118,23
101803559,23
101803165,13
101803494,50
101816034,c13
101803191,33
101803102,10
101803660,32
101853033,32
101803683,10
101816035,45
101803104,38
101803651,35
101866010,25
101853020,47
101803013,c9
101803595,c3
101803408,40
101803543,37
101803620,38
101803103,
101806171,18
101803409,35
101803122,10
101803688,11
101803292,42
101803138,11
101816003,35
101803123,38
101816056,43
101866012,26
101983045,11
101803109,22
101803400,11
101983051,24
101803608,41
101816001,35
101803472,c8
101803359,22
101853037,44
101803405,13
101803365,22
101803589,46
101803366,
101816011,42
101803676,30
101816004,11
101803108,22
101853025,49
101866011,32
101803546,31
101853035,18
101803035,15
101803670,c5
101983034,19
101803221,18
401853002,13
401853006,10
101803264,15
101853014,45
101803504,42
101803080,50
101866020,28
101803453,18
101803522,39
101803166,15
101803142,42
101803324,36
101803545,33
101803469,c11
101803579,35
101803487,32
101983056,25
101983062,42
101803271,19
101803139,27
101803290,49
101803329,10
101803170,
101803531,31
101803580,13
101816052,44
101803526,35
101803402,11
101803617,40
101853019,17
101803457,15
101803149,44
101866017,21
101866019,12
101853034,45
101803690,c17
101816043,43
401803036,47
101983043,50
101816053,15
101803051,20
101803143,42
101803023,
101803281,10
101803511,25
101816050,28
101803045,14
101803573,24
101803496,25
101816005,49
101803533,18
101803655,36
101803207,19
101803147,10
101803158,22
101803019,
101803389,49
101803454,38
101803185,16
101803413,14
101816040,
101803243,18
101983018,41
101803601,37
101803209,
101983061,20
101853018,12
101803273,c6
101803715,38
101803419,23
401803026,42
101983044,36
101803503,14
101803686,30
101803318,41
101816041,c16
101803192,14
101803106,32
101803008,34
101803121,26
101803217,49
101983054,31
101803590,20
101803516,18
101816012,23
101803010,11
101803542,38
101803702,12
101803049,17
101803610,39
101853021,37
101803163,13
101803669,40
101816018,30
101803596,31
101803617,29
101803295,27
101816029,34
101803705,34
401803010,28
101803258,49
101803412,43
101803613,14
101816051,
101803523,20
101803470,50
101803215,39
101803456,
101803097,16
101803298,14
101803111,37
101803623,21
101803605,40
101803004,
101803017,19
101803279,14
101803511,15
101803600,14
101983041,30
101803005,12
101803135,41
101853039,35
101803064,c7
101803020,
101803156,44
101803278,46
101983060,29
101803415,40
101803685,11
101853029,48
101803544,29
101803225,26
101983051,18
101803327,29
101983029,24
101803575,22
401803008,36
101803100,38
101803174,43
101816047,47
101803720,34
101803202,17
101803020,c19
101803482,22
101803606,23
101803562,20
101803536,16
101803384,17
101803268,23
101803401,31
101803214,35
101803492,27
101803036,20
101803162,50
101803728,45
101803029,10
101803043,21
101803671,25
101803699,18
101803372,13
101803604,12
101803414,44
101803609,
101803169,34
101803065,18
101803084,38
101803213,15
101803137,45
101803594,31
101816025,37
101803171,
101803006,31
101983058,50
101803248,47
101983011,34
101816019,46
101803635,45
101803146,30
101803407,23
101866002,37
101803598,22
101803284,21
101803476,44
101803528,15
101983065,26
101803644,c14
101803233,21
101803567,36
101803048,41
101983036,30
101803151,39
101803411,42
101803463,39
101983021,10
101803364,43
101803333,37
101803061,27
101803178,23
101866015,27
101803706,c18
101816010,21
101803132,21
101803691,c10
101983048,41
101816020,22
101803116,39
101803617,48
101803202,16
101803342,11
101803725,18
101803167,14
101803585,35
101803189,10
101803614,c1
101853014,14
101983053,19
101803059,10
101803115,13
101803549,21
101866007,24
101803075,27
101983041,40
101803159,50
101803502,22
101803246,35
101803011,47
101983063,33
101983033,c4
101803047,38
101803141,47
401803034,32
101803638,25
101816020,38
101803089,38
101803491,30
101803126,36
101803689,47
101803390,50
101983042,13
101803022,10
101803611,c2
101803216,26
101803625,26
101853016,45
101866009,42
101983052,41
101803696,19
101803293,34
101816046,
101803252,47
101803003,14
101803637,24
101803628,30
101853028,30
101803154,48
101816021,35
101866008,31
101803201,47
101803499,15
101803152,16
101803352,28
101816011,11
101803506,44
101816028,42
101803234,50
101803603,11
101983031,35
101803479,16
101816023,27
101803128,19
101803618,21
101803157,29
101803591,39
101803319,15
101803637,43
101816046,
101803308,47
101803231,17
101803173,13
101803272,
101803623,38
101803461,30
101803002,
101803269,
101983050,49
101866008,17
101803334,26
101803176,10
1018031175,29
101803529,19
101803561,15
101803259,17
101803650,40
