Roll,Marks
101983048,111
101803122,140
101853035,f16
101803020,f10
101803284,125
101803692,128
101803549,129
101803691,f14
101803676,110
101803408,120
101853021,149
101803401,122
101983021,101
101803472,f3
101816041,138
101803019,f12
101803511,135
101803561,143
101803158,107
101803613,130
101983036,123
101803005,135
101803143,112
101803600,132
101803121,129
101803651,127
101816004,134
101803494,109
101803491,133
101803567,131
101803702,110
101803273,f1
101803293,129
101803213,134
101803149,139
101866017,142
101803100,142
101983053,139
101803623,119
101983033,f2
101803002,f11
101803605,119
101803624,113
101803580,142
101803419,104
101803650,144
101803512,144
101816012,124
101803482,150
101803269,107
101803526,110
101803023,
101803466,149
101803440,129
101803456,121
101803504,101
101803589,139
101803243,130
101803635,106
101803617,130
101803175,116
101803499,105
101803029,124
101816020,130
101803402,101
101803258,120
101803102,130
101803453,148
401803008,122
101803594,128
101983047,128
101853039,117
101803400,118
101803089,122
101983042,105
101866019,102
101853016,102
101803290,107
101803233,113
101983063,120
101803272,111
101803671,130
101803686,150
101853029,103
101803461,126
101803333,144
101803017,104
101803252,127
101803170,f13
101803523,149
101803412,113
101803036,115
101853019,112
101803473,123
101803169,127
101803685,115
101816028,105
101803610,124
101866008,128
101803591,126
101803225,147
101803163,118
101853003,128
101803405,100
101853034,107
101803706,
101803625,113
101803545,100
101803231,147
101816011,130
101816034,110
101803115,129
101803151,119
101803106,104
101803295,122
101803112,104
101803611,
101803366,
101803453,114
101803598,127
101816047,139
101803688,107
101803516,115
101803075,131
101803157,138
101803272,129
101803216,103
101983050,142
101803189,144
401853006,140
101803575,114
101803542,123
101803135,148
101803215,135
101803531,132
101983065,133
101983058,101
101983051,102
101803051,123
101816040,144
101983011,125
101803506,146
101816041,
101803104,108
101816053,133
101983044,107
101803048,138
101803008,139
101803628,129
101816035,118
101803116,117
101803319,150
101816001,144
101803174,149
101803728,144
101983031,130
101803318,125
101803097,141
101816025,144
101803246,121
101853018,135
101803595,146
101803156,123
101803141,118
101983052,107
101803259,150
101803013,f4
101803147,115
101853020,150
101803173,126
101803689,136
101803352,149
101803638,105
101803389,114
101803544,128
101803476,125
101803103,
101803384,123
101803606,113
101803559,112
101803202,136
101816041,115
101983054,131
101803715,108
101803084,105
101816044,139
101803234,118
101803503,
101866020,136
101803128,115
101853037,144
101983061,139
101803221,106
101803528,105
101803529,117
101803411,136
101803049,101
101866015,143
101803324,140
101803025,107
101803118,112
101803281,138
101803699,141
101803271,130
101803359,120
101816052,135
101983063,134
101816051,131
101803536,141
101816005,150
101803409,126
101803080,128
101803522,103
101803191,117
101803152,114
101803268,137
101803609,110
101816023,142
101803415,147
101803171,
101803596,111
101803543,122
101983018,118
101803207,111
101866011,126
101803137,145
101816010,150
101803364,114
101803454,143
101803725,129
101803618,149
101803669,134
101803166,136
101803579,135
101803365,125
101803042,107
101816003,126
101803614,f17
101983062,123
101803407,104
101816001,127
101803327,120
101866010,118
101803097,114
101803214,133
101803499,125
101803469,f6
101803123,128
101816041,122
101853014,122
101803278,137
101803139,139
101816020,130
101803243,123
101866012,136
101803292,149
101803683,134
101803138,144
101803003,119
101803298,106
101803604,120
101803167,149
101803670,
101803176,140
101803502,134
101803720,145
101803047,118
101803184,148
101803655,105
101803217,106
101803414,110
101803334,101
101803104,104
401853002,133
101803463,142
101803022,102
101803492,135
101803342,141
101803315,140
101803705,123
101803279,139
401803026,109
101803112,124
101803413,110
101803600,141
101816021,132
101803494,123
101803185,148
101816050,135
101983056,147
101803487,109
101803043,104
401803034,110
101803109,101
101803006,109
101803562,144
101803061,118
101803496,117
101983045,120
101803248,112
101803608,101
101803201,104
101803010,107
101866007,111
101803479,144
101803035,111
101866009,118
101803064,f5
101803170,f15
101803590,105
101983034,100
101803308,109
101803470,118
101803045,123
101803111,131
101803162,141
101803573,120
101816043,129
101803146,149
101803637,129
101803004,104
101803206,f7
101803390,103
101803601,138
101803132,101
101803457,139
401803010,112
101803644,f8
101803165,116
101803011,108
101816019,117
101803372,134
101803209,
101853033,131
101983041,134
101983029,118
101803154,113
101803178,122
101816018,130
101803159,126
101803413,141
101853028,150
101803674,112
101983043,109
401803036,147
101803108,150
101803126,140
101803546,135
101803102,117
101803603,138
101803095,
101803142,105
101803620,115
101803533,117
101803696,101
101866002,135
101803192,117
101853025,147
101803412,113
101983060,111
101803065,114
101803660,122
101803329,105
101803690,f9
101803059,108
101803111,137
101816056,131
101816046,113
101816029,105
101983050,121
